Freq_MHz;IN_REV;IN_FWD;OUT_FWD
46;0,78;0,9;1,56
46,5;0,51;0,53;1,33
47;0,5;0,49;1,29
47,5;0,52;0,49;1,1
48;0,52;0,52;0,85
48,5;0,52;0,55;0,76
49;0,55;0,58;0,77
49,5;0,5;0,51;1,38
50;0,48;0,48;1,37
50,5;0,49;0,48;1,21
51;0,5;0,48;1,01
51,5;0,52;0,5;0,93
52;0,58;0,55;0,91
52,5;0,47;0,51;1,33
53;0,46;0,49;1,43
53,5;0,47;0,5;1,44
54;0,49;0,5;1,33
54,5;0,5;0,49;1,2
55;0,54;0,53;1,1
55,5;0,45;0,53;1,24
56;0,45;0,52;1,4
56,5;0,46;0,52;1,52
57;0,47;0,51;1,51
57,5;0,48;0,49;1,4
58;0,51;0,53;1,26
58,5;0,44;0,54;1,13
59;0,44;0,53;1,33
59,5;0,45;0,54;1,53
60;0,47;0,53;1,6
60,5;0,48;0,5;1,52
61;0,51;0,54;1,34
61,5;0,45;0,52;1,05
62;0,46;0,53;1,27
62,5;0,48;0,56;1,49
63;0,49;0,56;1,57
63,5;0,5;0,53;1,47
64;0,54;0,57;1,27
64,5;0,63;0,7;1,05
65;0,9;0,81;0,81
